fsc,day,cclType,ouType,ccls
FSC 1,1,1,VUST,0
FSC 1,1,1,GN_CIE,7
FSC 1,1,1,PAINF_CIE,29
FSC 1,1,1,AT_CIE,6
FSC 1,1,2,VUST,0
FSC 1,1,2,GN_CIE,7
FSC 1,1,2,PAINF_CIE,29
FSC 1,1,2,AT_CIE,6
FSC 1,1,3,VUST,0
FSC 1,1,3,GN_CIE,7
FSC 1,1,3,PAINF_CIE,29
FSC 1,1,3,AT_CIE,6
FSC 1,2,1,VUST,0
FSC 1,2,1,GN_CIE,7
FSC 1,2,1,PAINF_CIE,28
FSC 1,2,1,AT_CIE,6
FSC 1,2,2,VUST,0
FSC 1,2,2,GN_CIE,2
FSC 1,2,2,PAINF_CIE,22
FSC 1,2,2,AT_CIE,6
FSC 1,2,3,VUST,0
FSC 1,2,3,GN_CIE,7
FSC 1,2,3,PAINF_CIE,43
FSC 1,2,3,AT_CIE,5
FSC 1,3,1,VUST,0
FSC 1,3,1,GN_CIE,6
FSC 1,3,1,PAINF_CIE,25
FSC 1,3,1,AT_CIE,5
FSC 1,3,2,VUST,0
FSC 1,3,2,GN_CIE,2
FSC 1,3,2,PAINF_CIE,6
FSC 1,3,2,AT_CIE,3
FSC 1,3,3,VUST,0
FSC 1,3,3,GN_CIE,1
FSC 1,3,3,PAINF_CIE,44
FSC 1,3,3,AT_CIE,3
FSC 1,4,1,VUST,0
FSC 1,4,1,GN_CIE,6
FSC 1,4,1,PAINF_CIE,18
FSC 1,4,1,AT_CIE,3
FSC 1,4,2,VUST,0
FSC 1,4,2,GN_CIE,1
FSC 1,4,2,PAINF_CIE,38
FSC 1,4,2,AT_CIE,3
FSC 1,4,3,VUST,0
FSC 1,4,3,GN_CIE,8
FSC 1,4,3,PAINF_CIE,24
FSC 1,4,3,AT_CIE,3
FSC 1,5,1,VUST,0
FSC 1,5,1,GN_CIE,1
FSC 1,5,1,PAINF_CIE,15
FSC 1,5,1,AT_CIE,7
FSC 1,5,2,VUST,0
FSC 1,5,2,GN_CIE,1
FSC 1,5,2,PAINF_CIE,27
FSC 1,5,2,AT_CIE,1
FSC 1,5,3,VUST,0
FSC 1,5,3,GN_CIE,8
FSC 1,5,3,PAINF_CIE,16
FSC 1,5,3,AT_CIE,0
FSC 1,6,1,VUST,0
FSC 1,6,1,GN_CIE,1
FSC 1,6,1,PAINF_CIE,4
FSC 1,6,1,AT_CIE,6
FSC 1,6,2,VUST,0
FSC 1,6,2,GN_CIE,0
FSC 1,6,2,PAINF_CIE,15
FSC 1,6,2,AT_CIE,1
FSC 1,6,3,VUST,0
FSC 1,6,3,GN_CIE,8
FSC 1,6,3,PAINF_CIE,13
FSC 1,6,3,AT_CIE,11
FSC 1,7,1,VUST,0
FSC 1,7,1,GN_CIE,0
FSC 1,7,1,PAINF_CIE,0
FSC 1,7,1,AT_CIE,3
FSC 1,7,2,VUST,0
FSC 1,7,2,GN_CIE,1
FSC 1,7,2,PAINF_CIE,19
FSC 1,7,2,AT_CIE,0
FSC 1,7,3,VUST,0
FSC 1,7,3,GN_CIE,0
FSC 1,7,3,PAINF_CIE,11
FSC 1,7,3,AT_CIE,5
FSC 1,8,1,VUST,0
FSC 1,8,1,GN_CIE,0
FSC 1,8,1,PAINF_CIE,0
FSC 1,8,1,AT_CIE,3
FSC 1,8,2,VUST,0
FSC 1,8,2,GN_CIE,0
FSC 1,8,2,PAINF_CIE,4
