iter,elapsed_hours,progress_pct,entropy_coef,heuristic_bc_coef,best_days_mean,succ,day_ge5,day_ge6,days_mean,days_p50,days_p90,return_mean,stockout_mean,approx_kl,clip_frac,value_mse,heur_match
20,0.0039,0.03,0.014992,0.199951,3.8033,0.000000,0.206667,0.036667,3.8033,4.0000,5.0000,-9.8757,26286.4701,0.016268,0.344360,0.006657,0.158691
40,0.0077,0.06,0.014985,0.199899,3.9800,0.000000,0.196667,0.036667,3.9800,4.0000,5.0000,-9.1491,21654.7106,0.031043,0.385864,0.007106,0.155518
60,0.0111,0.08,0.014977,0.199852,3.9300,0.000000,0.146667,0.013333,3.9300,4.0000,5.0000,-9.2549,22028.1664,0.020651,0.355957,0.010061,0.170654
80,0.0139,0.10,0.014972,0.199815,4.4133,0.000000,0.463333,0.076667,4.4133,4.0000,5.0000,-7.6228,21002.3133,0.027941,0.404785,0.003458,0.165771
100,0.0171,0.12,0.014965,0.199772,4.7200,0.000000,0.700000,0.133333,4.7200,5.0000,6.0000,-6.6089,22177.8067,0.027554,0.353516,0.010991,0.180176
120,0.0202,0.14,0.014959,0.199731,4.7000,0.000000,0.666667,0.190000,4.7000,5.0000,6.0000,-6.6352,21987.1840,0.029986,0.424561,0.003903,0.187744
140,0.0232,0.17,0.014952,0.199688,4.9367,0.000000,0.730000,0.280000,4.9367,5.0000,6.0000,-5.9183,22251.9066,0.026120,0.405762,0.014847,0.194336
160,0.0264,0.19,0.014946,0.199645,5.0900,0.000000,0.800000,0.333333,5.0900,5.0000,6.0000,-5.3704,21427.3139,0.036178,0.405518,0.012716,0.178955
180,0.0297,0.21,0.014939,0.199600,5.0433,0.000000,0.760000,0.353333,5.0433,5.0000,6.0000,-5.4781,19206.6806,0.036144,0.422363,0.006881,0.201660
200,0.0334,0.24,0.014931,0.199551,5.1900,0.000000,0.803333,0.450000,5.1900,5.0000,6.0000,-4.9726,19409.9149,0.037591,0.434814,0.008798,0.191406
220,0.0372,0.27,0.014924,0.199499,5.2000,0.000000,0.796667,0.426667,5.2000,5.0000,6.0000,-4.9609,19674.9201,0.031801,0.422607,0.012948,0.187256
