has_stockout,total_stockout_kg,first_stockout_day,number_of_stockout_days,fw_stockout_days,fuel_stockout_days,ammo_stockout_days,total_fw_stockout_kg,total_fuel_stockout_kg,total_ammo_stockout_kg
true,2218.463714,9,1,0,0,1,0.000000,0.000000,2218.463714
true,4974.175835,4,1,0,0,1,0.000000,0.000000,4974.175835
true,1961.983465,10,1,0,0,1,0.000000,0.000000,1961.983465
true,1808.772358,8,1,0,0,1,0.000000,0.000000,1808.772358
true,1536.841259,10,1,0,0,1,0.000000,0.000000,1536.841259
true,12337.494917,10,1,0,0,1,0.000000,0.000000,12337.494917
true,26661.149455,6,2,0,0,2,0.000000,0.000000,26661.149455
true,27.072747,8,1,1,0,0,27.072747,0.000000,0.000000
true,12968.012119,8,1,0,0,1,0.000000,0.000000,12968.012119
true,1731.478525,9,1,0,0,1,0.000000,0.000000,1731.478525
true,9372.777623,10,1,0,0,1,0.000000,0.000000,9372.777623
true,3502.149636,5,1,0,0,1,0.000000,0.000000,3502.149636
true,26339.872946,6,5,0,0,5,0.000000,0.000000,26339.872946
true,396.355892,9,1,0,0,1,0.000000,0.000000,396.355892
true,26922.570424,9,1,0,0,1,0.000000,0.000000,26922.570424
true,2242.194572,9,1,0,0,1,0.000000,0.000000,2242.194572
true,73614.880541,5,2,0,0,2,0.000000,0.000000,73614.880541
true,1433.626052,10,1,0,0,1,0.000000,0.000000,1433.626052
true,5609.064811,5,2,0,0,2,0.000000,0.000000,5609.064811
true,9761.149623,3,2,0,0,2,0.000000,0.000000,9761.149623
true,3698.491621,8,1,0,0,1,0.000000,0.000000,3698.491621
true,11743.871981,7,3,0,0,3,0.000000,0.000000,11743.871981
true,100340.449477,8,3,0,0,3,0.000000,0.000000,100340.449477
true,155.689783,9,1,0,0,1,0.000000,0.000000,155.689783
true,1425.784479,10,1,0,0,1,0.000000,0.000000,1425.784479
true,51.725172,8,1,1,0,0,51.725172,0.000000,0.000000
true,1989.671995,9,1,0,0,1,0.000000,0.000000,1989.671995
true,4990.875689,9,1,0,0,1,0.000000,0.000000,4990.875689
true,13002.919183,6,2,0,0,2,0.000000,0.000000,13002.919183
true,5405.340707,3,1,0,0,1,0.000000,0.000000,5405.340707
true,1750.081674,2,1,0,0,1,0.000000,0.000000,1750.081674
true,79952.049657,6,2,0,0,2,0.000000,0.000000,79952.049657
true,102.569593,8,1,1,0,0,102.569593,0.000000,0.000000
true,4239.339254,10,1,0,0,1,0.000000,0.000000,4239.339254
true,7370.441043,8,1,0,0,1,0.000000,0.000000,7370.441043
